Step,Time_ms,Electrical_Angle_deg,Mechanical_Angle_deg,Current_A_Phase,Current_B_Phase,Current_C_Phase,Flux_Linkage_A_Wb,Flux_Linkage_B_Wb,Flux_Linkage_C_Wb,BackEMF_A_V,BackEMF_B_V,BackEMF_C_V,Torque_Nm
59,4.097222,221.2500,83.7500,-565.249302,263.391348,301.857954,-0.00796019,0.02252296,-0.01196716,-20.096229,-0.144311,14.885148,283.313232
60,4.166667,225.0000,85.0000,-562.586541,230.084991,332.501550,-0.00942585,0.02238707,-0.01079352,-21.105527,-1.956810,16.900457,292.127048
61,4.236111,228.7500,86.2500,-557.514698,195.793375,361.721324,-0.01090656,0.02219543,-0.00961606,-21.322124,-2.759592,16.955327,304.931794
62,4.305556,232.5000,87.5000,-550.055492,160.663341,389.392151,-0.01231318,0.02195419,-0.00846907,-20.255427,-3.473846,16.516746,316.893679
63,4.375000,236.2500,88.7500,-540.240863,124.845322,415.395541,-0.01369934,0.02152693,-0.00735372,-19.960656,-6.152567,16.061026,316.417309
64,4.444444,240.0000,90.0000,-528.112840,88.492697,439.620143,-0.01501781,0.02079762,-0.00621071,-18.985938,-10.502028,16.459255,303.692636
65,4.513889,243.7500,91.2500,-513.723357,51.761132,461.962225,-0.01620644,0.01986239,-0.00498151,-17.116312,-13.467333,17.700535,305.612808
66,4.583333,247.5000,92.5000,-497.134032,14.807918,482.326114,-0.01725882,0.01898159,-0.00370054,-15.154272,-12.683463,18.445925,315.952899
67,4.652778,251.2500,93.7500,-478.415902,-22.208706,500.624608,-0.01819373,0.01826613,-0.00244818,-13.462657,-10.302694,18.033981,319.735892
68,4.722222,255.0000,95.0000,-457.649122,-59.130228,516.779350,-0.01908718,0.01758605,-0.00125506,-12.865636,-9.793217,17.180983,313.783563
69,4.791667,258.7500,96.2500,-434.922618,-95.798546,530.721165,-0.01992796,0.01678707,-0.00003512,-12.107357,-11.505206,17.567132,295.116579
70,4.861111,262.5000,97.5000,-410.333709,-132.056640,542.390349,-0.02065855,0.01592806,0.00127243,-10.520450,-12.369809,18.828743,285.126271
71,4.930556,266.2500,98.7500,-383.987688,-167.749247,551.736935,-0.02129757,0.01515926,0.00264088,-9.201878,-11.070674,19.705608,293.142634
72,5.000000,270.0000,100.0000,-355.997373,-202.723526,558.720899,-0.02183456,0.01448994,0.00398147,-7.732589,-9.638228,19.304478,301.305489
73,5.069444,273.7500,101.2500,-326.482622,-236.829712,563.312334,-0.02228719,0.01381703,0.00524994,-6.517945,-9.689960,18.266058,307.283777
74,5.138889,277.5000,102.5000,-295.569823,-269.921756,565.491579,-0.02253535,0.01300244,0.00656391,-3.573459,-11.730076,18.921170,294.712402
75,5.208333,281.2500,103.7500,-263.391348,-301.857954,565.249302,-0.02252729,0.01196869,0.00796040,0.116098,-14.886001,20.109486,283.416250
76,5.277778,285.0000,105.0000,-230.084991,-332.501550,562.586541,-0.02238811,0.01079380,0.00942895,2.004141,-16.918413,21.147004,292.440403
77,5.347222,288.7500,106.2500,-195.793375,-361.721324,557.514698,-0.02219547,0.00961577,0.01091126,2.774008,-16.963579,21.345378,305.606007
78,5.416667,292.5000,107.5000,-160.663341,-389.392151,550.055492,-0.02195352,0.00846935,0.01231689,3.484093,-16.508461,20.240955,317.316546
79,5.486111,296.2500,108.7500,-124.845322,-415.395541,540.240863,-0.02152683,0.00735505,0.01370268,6.144376,-16.045977,19.955436,316.423828
80,5.555556,300.0000,110.0000,-88.492697,-439.620143,528.112840,-0.02079944,0.00621306,0.01502157,10.474423,-16.444584,18.992029,303.593080
81,5.625000,303.7500,111.2500,-51.761132,-461.962225,513.723357,-0.01986438,0.00498603,0.01620911,13.464868,-17.669261,17.100618,305.369371
82,5.694444,307.5000,112.5000,-14.807918,-482.326114,497.134032,-0.01898523,0.00370197,0.01726381,12.659742,-18.490459,15.187679,316.063485
83,5.763889,311.2500,113.7500,22.208706,-500.624608,478.415902,-0.01826990,0.00244947,0.01819785,10.300732,-18.036008,13.450122,319.458046
84,5.833333,315.0000,115.0000,59.130228,-516.779350,457.649122,-0.01758410,0.00126196,0.01908464,9.875449,-17.100193,12.769806,313.040532
85,5.902778,318.7500,116.2500,95.798546,-530.721165,434.922618,-0.01678311,0.00004482,0.01992172,11.534261,-17.526695,12.053945,294.360496
86,5.972222,322.5000,117.5000,132.056640,-542.390349,410.333709,-0.01592473,-0.00126290,0.02065300,12.360656,-18.831262,10.530465,284.552592
87,6.041667,326.2500,118.7500,167.749247,-551.736935,383.987688,-0.01515810,-0.00263242,0.02129410,11.039522,-19.721000,9.231769,293.555468
88,6.111111,330.0000,120.0000,202.723526,-558.720899,355.997373,-0.01448853,-0.00397744,0.02183322,9.641808,-19.368368,7.763397,301.859642
89,6.180556,333.7500,121.2500,236.829712,-563.312334,326.482622,-0.01381631,-0.00524948,0.02228784,9.679914,-18.317343,6.546434,307.807990
90,6.250000,337.5000,122.5000,269.921756,-565.491579,295.569823,-0.01300152,-0.00656308,0.02253538,11.733057,-18.915838,3.564657,295.025633
91,6.319444,341.2500,123.7500,301.857954,-565.249302,263.391348,-0.01196699,-0.00795939,0.02252740,14.897147,-20.106948,-0.114993,283.194440
92,6.388889,345.0000,125.0000,332.501550,-562.586541,230.084991,-0.01079201,-0.00942449,0.02238648,16.919773,-21.097307,-2.029171,291.868576
93,6.458333,348.7500,126.2500,361.721324,-557.514698,195.793375,-0.00961499,-0.01090717,0.02219361,16.949149,-21.350676,-2.777321,305.206839
94,6.527778,352.5000,127.5000,389.392151,-550.055492,160.663341,-0.00846708,-0.01231468,0.02195157,16.529809,-20.268164,-3.485392,317.406432
95,6.597222,356.2500,128.7500,415.395541,-540.240863,124.845322,-0.00735122,-0.01369833,0.02152416,16.068351,-19.924505,-6.154715,316.170088
96,6.666667,360.0000,130.0000,439.620143,-528.112840,88.492697,-0.00620881,-0.01501261,0.02079476,16.450742,-18.925641,-10.503393,302.920231
